COMUNE,FARMACIA,CL,INDIRIZZO,CAP,TELEFONO,PROVINCIA
AGRIGENTO,Averna Antonio,U,"Via Atenea, 325",92100,0922-26093,Agrigento
AGRIGENTO,Bajo Ettore,U,Piazza Primavera - Fontanelle,92100,0922-603966,Agrigento
AGRIGENTO,Bruccoleri Raffaele,U,Viale Viareggio - San Leone,92100,0922-413585,Agrigento
AGRIGENTO,Di Mino Rosa Maria,U,Viale Leonardo Sciascia - Villagio Mosè,92100,0922-607039,Agrigento
AGRIGENTO,Farmacia Camilleri S.N.C.,U,"Viale Leonardo Sciascia, 28",92100,0922-606849,Agrigento
AGRIGENTO,Farmacia del Viale di Trenta e Minacori,U,"Viale della Vittoria, 149",92100,0922-25089,Agrigento
AGRIGENTO,Farmacia Indelicato & C. S.N.C.,U,"Piazza Vittorio Emanuele, 13",92100,0922-23889,Agrigento
AGRIGENTO,Minacori Giuseppe,U,"Piazza Sinatra, 3",92100,0922-24235,Agrigento
AGRIGENTO,Moribondo Salvatore,U,Lotto XII - Villaseta,92100,0922-597238,Agrigento
AGRIGENTO,Nuara Marcella,U,"Via Manzoni, 28",92100,0922-22760,Agrigento
AGRIGENTO,Patti Raffaele & C. S.N.C.,U,"Via Atenea, 129",92100,0922-20591,Agrigento
AGRIGENTO,Romano Giuseppina,U,"Via Gioieni, 159",92100,0922-24501,Agrigento
AGRIGENTO,Russo Angelo,U,Via Regione Siciliana,92100,0922-410072,Agrigento
AGRIGENTO,Sammartino Raimondo,U,"Via Crispi, 74",92100,0922-594804,Agrigento
ALESSANDRIA DELLA ROCCA,Amorelli Pietro,R,"Via Umberto, 27",92010,0922-981002,Agrigento
ALESSANDRIA DELLA ROCCA,Farmacia Carbone S.N.C.,R,"Via Roma, 163",92010,0922-981024,Agrigento
ARAGONA,Farmacia Sciacca Maria S.N.C.,U,"Corso Garibaldi, 43",92021,0922-36269,Agrigento
ARAGONA,Farmacia Scurria di David Cirami,U,"Via Vittorio Emanuele, 121",92021,0922-36523,Agrigento
ARAGONA,Piruzza Innocenzo,U,"Via Roma, 40",92021,0922-36123,Agrigento
BIVONA,Gattuso Renato,R,"Via Porta Palermo, 53",92010,0922-983290,Agrigento
BIVONA,Silvio Calogera,R,"Piazza Marconi, 31/A",92010,0922-983030,Agrigento
BURGIO,Pizzitola M. Maddalena,RS,"Via F. Crispi, 1",92010,0925-64355,Agrigento
CALAMONACI,Ragusa Luigi,RS,"Via C. Battisti, 10",92010,0925-68409,Agrigento
CALTABELLOTTA,D'Alberto Roberto,R,"Via Roma, 8",92010,0925-951105,Agrigento
CALTABELLOTTA,Di Liberto Graziella,R,"Via Triocola, 37",92010,0925-951012,Agrigento
CALTABELLOTTA - S. ANNA,Mandina Francesca,RS,"Via Vittorio Emanuele, 25",92010,0925-951469,Agrigento
CAMASTRA,Nocera Graziella,RS,"Corso Vittorio Veneto, 156",92020,0922-950231,Agrigento
CAMMARATA,Imbornone S.N.C.,U,"Via C. Battisti, 19/A",92022,0922-909857,Agrigento
CAMMARATA,La Verde Calogera,U,"Via Bonfiglio, 30",92022,0922-900610,Agrigento
CAMPOBELLO DI LICATA,Brancato Calogero,U,"Via Vittorio Emanuele, 170",92023,0922-877834,Agrigento
CAMPOBELLO DI LICATA,Fragapane Claudio,U,"Corso Vittorio Emanuele, 138",92023,0922-877744,Agrigento
CAMPOBELLO DI LICATA,Smeraglia Biagia,U,"Via Umberto, 137",92023,0922-877262,Agrigento
CANICATTI',Antica Farmacia Pantano,U,"Viale Rosario Livatino, 18",92024,0922-851084,Agrigento
CANICATTI',Comparato Angela,U,"Via Minniti, 7",92024,0922-851653,Agrigento
CANICATTI',F A L L I M E N T O SENTENZA 22/2015,U,"Via Cap. Ippolito, 75",92024,0922-852734,Agrigento
CANICATTI',Farmacia Savatteri S.N.C.,U,"Via Regina Margherita, 77",92024,0922-851743,Agrigento
CANICATTI',Gallo Roberto,U,"Corso Umberto I, 19",92024,0922-851635,Agrigento
CANICATTI',La Licata Vincenza,U,"Via Dott. Sciascia, 3",92024,0922-851633,Agrigento
CANICATTI',Nicoletti Simona,U,"Viale della Vittoria, 53",92024,0922-851261,Agrigento
CANICATTI',Pantano di Rappa Fulvia,U,"Via De Gasperi, 16",92024,0922-851112,Agrigento
CASTELTERMINI,Amorelli Pietro,U,"Largo S. Giuseppe, 4",92025,0922-916532,Agrigento
CASTELTERMINI,Cacciatore Maria S.N.C.,U,"Corso Umberto, 82",92025,0922-916233,Agrigento
CASTELTERMINI,Farmacia Roma sas,U,"Via Roma, 85",92025,0922-916004,Agrigento
CASTROFILIPPO,Bruccoleri Irene,R,"Piazza Giovanni XXIII, 4",92020,0922-829377,Agrigento
CATTOLICA ERACLEA,Argento Michele,R,"Piazza Roma, 25",92011,0922-849604,Agrigento
CATTOLICA ERACLEA,Sajeva Giorgio,R,"Via Prof. Leonardi, 108",92011,0922-849213,Agrigento
CIANCIANA,Contissa M. Rosa,R,"Salita Convento, 52-54",92012,0922-944878,Agrigento
CIANCIANA,Gagliano Ottavia,R,"Corso Nazionale, 143",92012,0922-984183,Agrigento
COMITINI,Attardo Maria,RS,"Via Principe di Napoli, 62",92020,0922-600024,Agrigento
FAVARA,Amato Lilly,U,"Via Vittorio Emanuele, 84",92026,0922-31022,Agrigento
FAVARA,Arcuri Rosario,U,"Piazza Garibaldi, 1",92026,0922-31314,Agrigento
FAVARA,Bongiorno Antonio & C. SAS,U,"Via Crispi, 97",92026,0922-31031,Agrigento
FAVARA,Bongiorno Paolo & C. SAS,U,"Via Vittorio Emanuele, 15",92026,0922-31151,Agrigento
FAVARA,Farmacia Centrale S.N.C.,U,"Via Vittorio Emanuele, 29",92026,0922-31292,Agrigento
FAVARA,Farmacia Dott. Maratta S.N.C.,U,"Via F. Crispi, 12",92026,0922-34900,Agrigento
FAVARA,Farmacia Pennino S.N.C.,U,"Via IV Novembre, 45",92026,0922-34704,Agrigento
FAVARA,Sajeva Gaetano,U,"Corso Vittorio Veneto, 450",92026,0922-31005,Agrigento
GROTTE,Ciraolo S.N.C.,U,"Via Collegio, 6",92020,0922-943281,Agrigento
GROTTE,Spoto Mario,U,"Via Crispi, 8",92020,0922-943249,Agrigento
IOPPOLO GINCAXIO,Lo Giudice Pasquale,RS,"Via Kennedy, 7",92010,0922-631004,Agrigento
LAMPEDUSA,Farmacia delle Pelagie di Tripolino,R,"Via Vittorio Emanuele, 35",92010,0922-970195,Agrigento
LICATA,Argento Palma,U,"Via Garibaldi, 35",92027,0922-804462,Agrigento
LICATA,Lanza Luigi,U,"Via Rettifilo Garibaldi, 128",92027,0922-804911,Agrigento
LICATA,Farmacia Dr. Gagliano Giuseppina & C.,U,"Corso Roma, 23",92027,0922-774082,Agrigento
