PERIODO,TERRITORIO,PATOLOGIA,MASCHI,FEMMINE
2009-2017,81001,Malattie infettive e parassitarie,4,6
2009-2017,81001,Tubercolosi,1,1
2009-2017,81001,Epatite virale,1,0
2009-2017,81001,Tumore,560,435
2009-2017,81001,Tumori maligni,545,426
2009-2017,81001,"Tumori maligni delle labbra, cavità orale e faringe",12,7
2009-2017,81001,Tumori maligni dell'esofago,2,2
2009-2017,81001,Tumori maligni dello stomaco,25,18
2009-2017,81001,Tumori maligni del colon,44,48
2009-2017,81001,Tumori maligni del retto e dell'ano,14,14
2009-2017,81001,Tumori maligni del fegato e dei dotti biliari intraepatici,23,21
2009-2017,81001,Tumori maligni del pancreas,31,34
2009-2017,81001,Tumori maligni della laringe e della trachea/bronchi/polm.,141,27
2009-2017,81001,Tumori maligni della cute,4,1
2009-2017,81001,Tumori maligni del seno,0,80
2009-2017,81001,Tumori maligni della cervice uterina,0,3
2009-2017,81001,Tumori maligni di altre parti dell'utero,0,26
2009-2017,81001,Tumori maligni dell'ovaio,0,21
2009-2017,81001,Tumori maligni della prostata,68,0
2009-2017,81001,Tumori maligni del rene,14,5
2009-2017,81001,Tumori maligni della vescica,41,12
2009-2017,81001,Tumori maligni del tessuto linfatico/ematopoietico,47,44
2009-2017,81001,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,12,14
2009-2017,81001,"Malattie endocrine, nutrizionali e metaboliche",110,163
2009-2017,81001,Diabete mellito,98,151
2009-2017,81001,Disturbi psichici e comportamentali,103,178
2009-2017,81001,Abuso di alcool (compresa psicosi alcolica),1,0
2009-2017,81001,Malattie del sistema nervoso e degli organi di senso,63,57
2009-2017,81001,Malattie del sistema circolatorio,703,881
2009-2017,81001,Malattie ischemiche del cuore,199,150
2009-2017,81001,Altre malattie del cuore,122,141
2009-2017,81001,Malattie cerebrovascolari,275,377
2009-2017,81001,Malattie del sistema respiratorio,149,91
2009-2017,81001,Influenza,1,1
2009-2017,81001,Polmonite,20,14
2009-2017,81001,Malattie croniche delle basse vie respiratorie,109,50
2009-2017,81001,Asma,1,1
2009-2017,81001,Malattie dell'apparato digerente,69,58
2009-2017,81001,"Ulcera dello stomaco, duodeno e digiuno",2,2
2009-2017,81001,Malattie epatiche croniche,28,17
2009-2017,81001,Malattie del sistema osteomuscolare e del tessuto connettivo,5,12
2009-2017,81001,Artrite reumatoide e osteoartrite,2,7
2009-2017,81001,Malattie del sistema genitourinario,89,93
2009-2017,81001,Malattie del rene e dell'uretere,88,93
2009-2017,81001,Alcune condizioni che hanno origine nel periodo perinatale,7,5
2009-2017,81001,Malformazioni congenite e anormalità cromosomiche,11,7
2009-2017,81001,Malformazioni congenite del sistema nervoso,1,2
2009-2017,81001,Malformazioni congenite del sistema circolatorio,3,3
2009-2017,81001,"Sintomi, segni, risultati anomali e cause mal definite",47,89
2009-2017,81001,Cause sconosciute e non specificate,2,0
2009-2017,81001,Cause esterne di traumatismo e avvelenamento,96,75
2009-2017,81001,Accidenti,55,72
2009-2017,81001,Accidenti di trasporto,12,5
2009-2017,81001,Cadute accidentali,27,55
2009-2017,81001,Suicidio e autolesione intenzionale,33,1
2009-2017,81001,"Omicidio, aggressione",3,0
2009-2017,81001,Eventi di intento indeterminato,5,1
2009-2017,81002,Malattie infettive e parassitarie,0,2
2009-2017,81002,Tumore,38,42
2009-2017,81002,Tumori maligni,34,41
2009-2017,81002,Tumori maligni dello stomaco,1,0
2009-2017,81002,Tumori maligni del colon,3,7
2009-2017,81002,Tumori maligni del retto e dell'ano,1,2
2009-2017,81002,Tumori maligni del fegato e dei dotti biliari intraepatici,0,5
2009-2017,81002,Tumori maligni del pancreas,1,1
2009-2017,81002,Tumori maligni della laringe e della trachea/bronchi/polm.,9,3
2009-2017,81002,Tumori maligni della cute,0,2
2009-2017,81002,Tumori maligni del seno,0,4
2009-2017,81002,Tumori maligni di altre parti dell'utero,0,3
2009-2017,81002,Tumori maligni dell'ovaio,0,3
2009-2017,81002,Tumori maligni della prostata,4,0
2009-2017,81002,Tumori maligni del rene,1,0
2009-2017,81002,Tumori maligni della vescica,3,1
2009-2017,81002,Tumori maligni del tessuto linfatico/ematopoietico,4,1
2009-2017,81002,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,2
2009-2017,81002,"Malattie endocrine, nutrizionali e metaboliche",9,15
2009-2017,81002,Diabete mellito,6,14
2009-2017,81002,Disturbi psichici e comportamentali,6,15
2009-2017,81002,Malattie del sistema nervoso e degli organi di senso,2,8
2009-2017,81002,Malattie del sistema circolatorio,80,109
2009-2017,81002,Malattie ischemiche del cuore,16,15
2009-2017,81002,Altre malattie del cuore,21,22
2009-2017,81002,Malattie cerebrovascolari,27,50
2009-2017,81002,Malattie del sistema respiratorio,11,8
2009-2017,81002,Influenza,0,1
2009-2017,81002,Polmonite,2,1
2009-2017,81002,Malattie croniche delle basse vie respiratorie,7,2
2009-2017,81002,Malattie dell'apparato digerente,5,5
2009-2017,81002,Malattie epatiche croniche,1,0
2009-2017,81002,Malattie del sistema osteomuscolare e del tessuto connettivo,0,3
2009-2017,81002,Artrite reumatoide e osteoartrite,0,3
2009-2017,81002,Malattie del sistema genitourinario,5,7
2009-2017,81002,Malattie del rene e dell'uretere,4,7
2009-2017,81002,Alcune condizioni che hanno origine nel periodo perinatale,3,1
2009-2017,81002,"Sintomi, segni, risultati anomali e cause mal definite",2,2
2009-2017,81002,Cause esterne di traumatismo e avvelenamento,12,5
2009-2017,81002,Accidenti,8,4
2009-2017,81002,Accidenti di trasporto,1,0
2009-2017,81002,Cadute accidentali,6,2
2009-2017,81002,Suicidio e autolesione intenzionale,2,0
2009-2017,81002,Eventi di intento indeterminato,1,1
2009-2017,81003,Malattie infettive e parassitarie,1,1
2009-2017,81003,Epatite virale,0,1
2009-2017,81003,Tumore,98,80
2009-2017,81003,Tumori maligni,97,76
2009-2017,81003,"Tumori maligni delle labbra, cavità orale e faringe",0,3
2009-2017,81003,Tumori maligni dello stomaco,3,3
2009-2017,81003,Tumori maligni del colon,8,3
2009-2017,81003,Tumori maligni del retto e dell'ano,0,3
2009-2017,81003,Tumori maligni del fegato e dei dotti biliari intraepatici,5,1
2009-2017,81003,Tumori maligni del pancreas,3,6
2009-2017,81003,Tumori maligni della laringe e della trachea/bronchi/polm.,30,8
2009-2017,81003,Tumori maligni della cute,3,1
2009-2017,81003,Tumori maligni del seno,0,17
2009-2017,81003,Tumori maligni della cervice uterina,0,1
2009-2017,81003,Tumori maligni di altre parti dell'utero,0,3
2009-2017,81003,Tumori maligni dell'ovaio,0,4
2009-2017,81003,Tumori maligni della prostata,11,0
2009-2017,81003,Tumori maligni del rene,1,2
2009-2017,81003,Tumori maligni della vescica,5,2
2009-2017,81003,Tumori maligni del tessuto linfatico/ematopoietico,13,3
2009-2017,81003,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,3,4
2009-2017,81003,"Malattie endocrine, nutrizionali e metaboliche",18,24
2009-2017,81003,Diabete mellito,16,23
2009-2017,81003,Disturbi psichici e comportamentali,6,18
2009-2017,81003,Malattie del sistema nervoso e degli organi di senso,6,9
2009-2017,81003,Malattie del sistema circolatorio,165,227
2009-2017,81003,Malattie ischemiche del cuore,67,64
2009-2017,81003,Altre malattie del cuore,15,18
2009-2017,81003,Malattie cerebrovascolari,63,116
2009-2017,81003,Malattie del sistema respiratorio,22,10
2009-2017,81003,Influenza,1,0
2009-2017,81003,Polmonite,0,1
2009-2017,81003,Malattie croniche delle basse vie respiratorie,14,4
2009-2017,81003,Asma,0,1
2009-2017,81003,Malattie dell'apparato digerente,3,6
2009-2017,81003,Malattie epatiche croniche,1,0
2009-2017,81003,Malattie del sistema osteomuscolare e del tessuto connettivo,0,4
2009-2017,81003,Artrite reumatoide e osteoartrite,0,3
2009-2017,81003,Malattie del sistema genitourinario,12,21
2009-2017,81003,Malattie del rene e dell'uretere,12,21
2009-2017,81003,Alcune condizioni che hanno origine nel periodo perinatale,1,0
2009-2017,81003,Malformazioni congenite e anormalità cromosomiche,1,0
2009-2017,81003,"Sintomi, segni, risultati anomali e cause mal definite",2,7
2009-2017,81003,Cause esterne di traumatismo e avvelenamento,11,16
2009-2017,81003,Accidenti,6,14
2009-2017,81003,Accidenti di trasporto,2,1
2009-2017,81003,Cadute accidentali,2,11
2009-2017,81003,Suicidio e autolesione intenzionale,3,1
2009-2017,81003,"Omicidio, aggressione",1,0
2009-2017,81003,Eventi di intento indeterminato,1,1
2009-2017,81004,Malattie infettive e parassitarie,3,2
2009-2017,81004,Tumore,186,135
2009-2017,81004,Tumori maligni,180,128
2009-2017,81004,"Tumori maligni delle labbra, cavità orale e faringe",2,2
2009-2017,81004,Tumori maligni dello stomaco,7,4
2009-2017,81004,Tumori maligni del colon,19,15
2009-2017,81004,Tumori maligni del retto e dell'ano,8,5
2009-2017,81004,Tumori maligni del fegato e dei dotti biliari intraepatici,7,12
2009-2017,81004,Tumori maligni del pancreas,8,8
2009-2017,81004,Tumori maligni della laringe e della trachea/bronchi/polm.,47,7
2009-2017,81004,Tumori maligni della cute,3,2
2009-2017,81004,Tumori maligni del seno,0,27
2009-2017,81004,Tumori maligni della cervice uterina,0,1
2009-2017,81004,Tumori maligni di altre parti dell'utero,0,3
2009-2017,81004,Tumori maligni dell'ovaio,0,5
2009-2017,81004,Tumori maligni della prostata,19,0
2009-2017,81004,Tumori maligni del rene,2,0
2009-2017,81004,Tumori maligni della vescica,16,4
2009-2017,81004,Tumori maligni del tessuto linfatico/ematopoietico,19,11
2009-2017,81004,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,3,3
2009-2017,81004,"Malattie endocrine, nutrizionali e metaboliche",36,55
2009-2017,81004,Diabete mellito,33,53
2009-2017,81004,Disturbi psichici e comportamentali,18,30
2009-2017,81004,Malattie del sistema nervoso e degli organi di senso,25,22
2009-2017,81004,Malattie del sistema circolatorio,309,321
2009-2017,81004,Malattie ischemiche del cuore,105,69
2009-2017,81004,Altre malattie del cuore,40,30
2009-2017,81004,Malattie cerebrovascolari,101,150
2009-2017,81004,Malattie del sistema respiratorio,49,26
2009-2017,81004,Polmonite,4,3
2009-2017,81004,Malattie croniche delle basse vie respiratorie,33,17
2009-2017,81004,Asma,0,2
2009-2017,81004,Malattie dell'apparato digerente,16,17
2009-2017,81004,Malattie epatiche croniche,8,5
2009-2017,81004,Malattie della pelle e del tessuto sottocutaneo,1,0
2009-2017,81004,Malattie del sistema osteomuscolare e del tessuto connettivo,0,2
2009-2017,81004,Artrite reumatoide e osteoartrite,0,1
2009-2017,81004,Malattie del sistema genitourinario,13,19
2009-2017,81004,Malattie del rene e dell'uretere,12,19
2009-2017,81004,Alcune condizioni che hanno origine nel periodo perinatale,2,0
2009-2017,81004,Malformazioni congenite e anormalità cromosomiche,1,3
2009-2017,81004,Malformazioni congenite del sistema nervoso,0,1
2009-2017,81004,Malformazioni congenite del sistema circolatorio,0,1
2009-2017,81004,"Sintomi, segni, risultati anomali e cause mal definite",8,4
2009-2017,81004,Cause sconosciute e non specificate,1,1
2009-2017,81004,Cause esterne di traumatismo e avvelenamento,30,13
2009-2017,81004,Accidenti,22,7
2009-2017,81004,Accidenti di trasporto,6,0
2009-2017,81004,Cadute accidentali,8,5
2009-2017,81004,Avvelenamento accidentale,1,0
2009-2017,81004,Suicidio e autolesione intenzionale,5,3
2009-2017,81004,"Omicidio, aggressione",1,0
2009-2017,81004,Eventi di intento indeterminato,2,2
2009-2017,81005,Malattie infettive e parassitarie,2,1
2009-2017,81005,Tubercolosi,1,0
2009-2017,81005,Tumore,175,170
2009-2017,81005,Tumori maligni,169,168
2009-2017,81005,"Tumori maligni delle labbra, cavità orale e faringe",2,4
2009-2017,81005,Tumori maligni dell'esofago,0,1
2009-2017,81005,Tumori maligni dello stomaco,6,3
2009-2017,81005,Tumori maligni del colon,11,24
2009-2017,81005,Tumori maligni del retto e dell'ano,5,2
2009-2017,81005,Tumori maligni del fegato e dei dotti biliari intraepatici,14,10
2009-2017,81005,Tumori maligni del pancreas,12,9
2009-2017,81005,Tumori maligni della laringe e della trachea/bronchi/polm.,43,10
2009-2017,81005,Tumori maligni della cute,2,0
2009-2017,81005,Tumori maligni del seno,0,33
2009-2017,81005,Tumori maligni della cervice uterina,0,2
2009-2017,81005,Tumori maligni di altre parti dell'utero,0,15
2009-2017,81005,Tumori maligni dell'ovaio,0,3
2009-2017,81005,Tumori maligni della prostata,17,0
2009-2017,81005,Tumori maligni del rene,4,2
2009-2017,81005,Tumori maligni della vescica,13,2
2009-2017,81005,Tumori maligni del tessuto linfatico/ematopoietico,22,23
2009-2017,81005,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,3,4
2009-2017,81005,"Malattie endocrine, nutrizionali e metaboliche",32,44
2009-2017,81005,Diabete mellito,28,43
2009-2017,81005,Disturbi psichici e comportamentali,10,24
2009-2017,81005,Malattie del sistema nervoso e degli organi di senso,18,23
2009-2017,81005,Malattie del sistema circolatorio,304,378
2009-2017,81005,Malattie ischemiche del cuore,90,57
2009-2017,81005,Altre malattie del cuore,47,53
2009-2017,81005,Malattie cerebrovascolari,116,182
2009-2017,81005,Malattie del sistema respiratorio,35,21
2009-2017,81005,Polmonite,5,3
2009-2017,81005,Malattie croniche delle basse vie respiratorie,24,11
2009-2017,81005,Asma,0,1
2009-2017,81005,Malattie dell'apparato digerente,24,31
2009-2017,81005,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,81005,Malattie epatiche croniche,15,14
2009-2017,81005,Malattie del sistema osteomuscolare e del tessuto connettivo,1,3
2009-2017,81005,Artrite reumatoide e osteoartrite,0,1
2009-2017,81005,Malattie del sistema genitourinario,21,25
2009-2017,81005,Malattie del rene e dell'uretere,19,25
2009-2017,81005,Alcune condizioni che hanno origine nel periodo perinatale,2,1
2009-2017,81005,Malformazioni congenite e anormalità cromosomiche,1,1
2009-2017,81005,Malformazioni congenite del sistema circolatorio,1,0
2009-2017,81005,"Sintomi, segni, risultati anomali e cause mal definite",2,9
2009-2017,81005,Cause esterne di traumatismo e avvelenamento,40,26
2009-2017,81005,Accidenti,30,24
2009-2017,81005,Accidenti di trasporto,5,1
2009-2017,81005,Cadute accidentali,15,22
2009-2017,81005,Suicidio e autolesione intenzionale,5,1
2009-2017,81005,Eventi di intento indeterminato,5,1
2009-2017,81006,Malattie infettive e parassitarie,7,6
2009-2017,81006,Tubercolosi,1,0
2009-2017,81006,Epatite virale,2,1
2009-2017,81006,Tumore,428,323
2009-2017,81006,Tumori maligni,420,312
2009-2017,81006,"Tumori maligni delle labbra, cavità orale e faringe",8,4
2009-2017,81006,Tumori maligni dell'esofago,2,0
2009-2017,81006,Tumori maligni dello stomaco,14,9
2009-2017,81006,Tumori maligni del colon,46,33
2009-2017,81006,Tumori maligni del retto e dell'ano,12,12
2009-2017,81006,Tumori maligni del fegato e dei dotti biliari intraepatici,25,20
2009-2017,81006,Tumori maligni del pancreas,26,12
2009-2017,81006,Tumori maligni della laringe e della trachea/bronchi/polm.,107,31
2009-2017,81006,Tumori maligni della cute,6,3
2009-2017,81006,Tumori maligni del seno,0,72
2009-2017,81006,Tumori maligni di altre parti dell'utero,0,11
2009-2017,81006,Tumori maligni dell'ovaio,0,12
2009-2017,81006,Tumori maligni della prostata,40,0
2009-2017,81006,Tumori maligni del rene,11,3
2009-2017,81006,Tumori maligni della vescica,23,5
2009-2017,81006,Tumori maligni del tessuto linfatico/ematopoietico,44,29
2009-2017,81006,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,5,11
2009-2017,81006,"Malattie endocrine, nutrizionali e metaboliche",81,105
2009-2017,81006,Diabete mellito,71,101
2009-2017,81006,Disturbi psichici e comportamentali,46,91
2009-2017,81006,Malattie del sistema nervoso e degli organi di senso,47,37
2009-2017,81006,Meningite (diverso da 03),0,1
2009-2017,81006,Malattie del sistema circolatorio,473,647
2009-2017,81006,Malattie ischemiche del cuore,153,130
2009-2017,81006,Altre malattie del cuore,74,84
2009-2017,81006,Malattie cerebrovascolari,126,230
2009-2017,81006,Malattie del sistema respiratorio,104,85
2009-2017,81006,Influenza,1,0
2009-2017,81006,Polmonite,12,19
2009-2017,81006,Malattie croniche delle basse vie respiratorie,78,48
2009-2017,81006,Asma,1,0
2009-2017,81006,Malattie dell'apparato digerente,50,69
2009-2017,81006,"Ulcera dello stomaco, duodeno e digiuno",2,2
2009-2017,81006,Malattie epatiche croniche,29,35
2009-2017,81006,Malattie della pelle e del tessuto sottocutaneo,0,2
2009-2017,81006,Malattie del sistema osteomuscolare e del tessuto connettivo,3,2
2009-2017,81006,Artrite reumatoide e osteoartrite,2,0
2009-2017,81006,Malattie del sistema genitourinario,37,44
2009-2017,81006,Malattie del rene e dell'uretere,35,43
2009-2017,81006,Alcune condizioni che hanno origine nel periodo perinatale,1,2
2009-2017,81006,Malformazioni congenite e anormalità cromosomiche,4,8
2009-2017,81006,Malformazioni congenite del sistema nervoso,0,2
2009-2017,81006,Malformazioni congenite del sistema circolatorio,1,3
2009-2017,81006,"Sintomi, segni, risultati anomali e cause mal definite",9,19
2009-2017,81006,Cause sconosciute e non specificate,1,0
2009-2017,81006,Cause esterne di traumatismo e avvelenamento,72,49
2009-2017,81006,Accidenti,51,39
2009-2017,81006,Accidenti di trasporto,18,4
2009-2017,81006,Cadute accidentali,20,25
2009-2017,81006,Suicidio e autolesione intenzionale,12,6
2009-2017,81006,"Omicidio, aggressione",3,0
2009-2017,81006,Eventi di intento indeterminato,5,4
2009-2017,81007,Tumore,67,38
2009-2017,81007,Tumori maligni,64,37
2009-2017,81007,Tumori maligni dell'esofago,1,1
2009-2017,81007,Tumori maligni dello stomaco,1,0
2009-2017,81007,Tumori maligni del colon,6,9
2009-2017,81007,Tumori maligni del retto e dell'ano,4,1
2009-2017,81007,Tumori maligni del fegato e dei dotti biliari intraepatici,2,0
2009-2017,81007,Tumori maligni del pancreas,3,2
2009-2017,81007,Tumori maligni della laringe e della trachea/bronchi/polm.,25,4
2009-2017,81007,Tumori maligni della cute,1,0
2009-2017,81007,Tumori maligni del seno,0,6
2009-2017,81007,Tumori maligni di altre parti dell'utero,0,3
2009-2017,81007,Tumori maligni della prostata,3,0
2009-2017,81007,Tumori maligni del rene,0,2
2009-2017,81007,Tumori maligni della vescica,3,1
2009-2017,81007,Tumori maligni del tessuto linfatico/ematopoietico,3,4
2009-2017,81007,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,2,2
2009-2017,81007,"Malattie endocrine, nutrizionali e metaboliche",9,11
2009-2017,81007,Diabete mellito,9,10
2009-2017,81007,Disturbi psichici e comportamentali,6,10
2009-2017,81007,Malattie del sistema nervoso e degli organi di senso,9,15
2009-2017,81007,Malattie del sistema circolatorio,80,107
