PERIODO,PATOLOGIA,TERRITORIO,MASCHI,FEMMINE,TOTALE
2009-2017,AIDS (malattia da HIV),83032,1,0,1
2009-2017,AIDS (malattia da HIV),87011,1,0,1
2009-2017,AIDS (malattia da HIV),87015,2,2,4
2009-2017,AIDS (malattia da HIV),87025,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),81001,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),81012,2,0,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),81013,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),81014,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),81018,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),81021,1,1,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),82006,2,0,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),82021,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),82053,9,0,9
2009-2017,Abuso di alcool (compresa psicosi alcolica),83003,2,0,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),83005,2,0,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),83027,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),83041,3,0,3
2009-2017,Abuso di alcool (compresa psicosi alcolica),83043,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),83048,3,1,4
2009-2017,Abuso di alcool (compresa psicosi alcolica),83061,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),83084,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),83085,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),83099,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84001,2,0,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),84018,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84020,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84021,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84022,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84023,1,1,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),84029,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84031,0,1,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84033,1,1,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),84040,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),84041,2,2,4
2009-2017,Abuso di alcool (compresa psicosi alcolica),85004,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),85013,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),86008,0,2,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),86009,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),86013,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),86016,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),86019,0,1,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87009,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87015,4,2,6
2009-2017,Abuso di alcool (compresa psicosi alcolica),87019,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87022,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87025,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87027,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87029,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87041,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),87050,0,1,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),88003,2,0,2
2009-2017,Abuso di alcool (compresa psicosi alcolica),88006,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),88008,0,1,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),88009,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),89002,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),89016,1,0,1
2009-2017,Abuso di alcool (compresa psicosi alcolica),89017,3,0,3
2009-2017,Accidenti,81001,55,72,127
2009-2017,Accidenti,81002,8,4,12
2009-2017,Accidenti,81003,6,14,20
2009-2017,Accidenti,81004,22,7,29
2009-2017,Accidenti,81005,30,24,54
2009-2017,Accidenti,81006,51,39,90
2009-2017,Accidenti,81007,12,5,17
2009-2017,Accidenti,81008,44,42,86
2009-2017,Accidenti,81009,8,4,12
2009-2017,Accidenti,81010,10,8,18
2009-2017,Accidenti,81011,130,104,234
2009-2017,Accidenti,81012,75,58,133
2009-2017,Accidenti,81013,15,13,28
2009-2017,Accidenti,81014,11,7,18
2009-2017,Accidenti,81015,19,14,33
2009-2017,Accidenti,81016,2,3,5
2009-2017,Accidenti,81017,4,2,6
2009-2017,Accidenti,81018,23,23,46
