name,slug,country,whiskybase_whiskies,whiskybase_votes,whiskybase_rating
8 Doors Distillery,8_doors,Scotland,6,11,83.0
Abbeyhill Distillery,abbeyhill,Scotland,0,0,0.0
Aberargie Distillery,aberargie,Scotland,1,0,0.0
Aberfeldy,aberfeldy,Scotland,542,9539,84.28
Aberlour,aberlour,Scotland,1386,31470,85.09
Abhainn Dearg,abhainn_dearg,Scotland,44,434,70.16
Ailsa Bay,ailsa_bay,Scotland,33,1595,82.14
Aioi Unibio Co. Ltd.,aioi_unibio_co._ltd.,Japan,6,51,77.61
Akkeshi Distillery,akkeshi,Japan,37,364,85.63
Albyn Distillery,albyn,Scotland,0,0,0.0
Allt-a-Bhainne,allt-a-bhainne,Scotland,500,4494,84.65
Annandale Distillery,annandale,Scotland,178,1442,84.18
Arbikie,arbikie,Scotland,15,80,81.86
Ardbeg,ardbeg,Scotland,2572,106110,87.96
Ardenistile,ardenistile,Scotland,0,0,0.0
Ardgowan Distillery,ardgowan,Scotland,3,3,84.33
Ardlussa Distillery,ardlussa,Scotland,0,0,0.0
Ardmore,ardmore,Scotland,1925,22178,85.41
Ardnahoe Distillery,ardnahoe,Scotland,0,0,0.0
Ardnamurchan,ardnamurchan,Scotland,178,5762,85.76
Argyll Distillery,argyll,Scotland,0,0,0.0
Arran,arran,Scotland,2427,48699,85.55
Asaka,asaka,Japan,25,39,86.08
Auchentoshan,auchentoshan,Scotland,1357,18387,84.12
Auchnagie,auchnagie,Scotland,2,12,84.28
Auchroisk,auchroisk,Scotland,817,7445,84.77
Aultmore,aultmore,Scotland,1034,9939,85.23
Badachro Distillery,badachro,Scotland,3,2,80.5
Balblair,balblair,Scotland,734,12871,86.07
Ballindalloch,ballindalloch,Scotland,15,60,87.57
Balmenach,balmenach,Scotland,699,5900,85.16
Balvenie,balvenie,Scotland,3656,32494,86.41
Banff,banff,Scotland,177,3234,88.34
Benachie Distillery,benachie,Scotland,2,0,0.0
Benmore Distillery,benmore,Scotland,0,0,0.0
Ben Nevis,ben_nevis,Scotland,1959,44127,86.69
BenRiach,benriach,Scotland,1982,45217,86.03
Benrinnes,benrinnes,Scotland,1581,20047,85.65
Benromach,benromach,Scotland,639,18549,86.09
Benson Winery,benson_winery,Taiwan,1,0,0.0
Ben Wyvis,ben_wyvis,Scotland,18,239,89.33
Ben Wyvis / Ferintosh,ben_wyvis_/_ferintosh,Scotland,2,2,92.0
Bladnoch,bladnoch,Scotland,985,11039,85.49
Blair Athol,blair_athol,Scotland,1297,17683,85.52
Bon-Accord,bon-accord,Scotland,1,0,0.0
Bonnington,bonnington,Scotland,2,7,84.38
Bowmore,bowmore,Scotland,3853,88668,87.09
Braeval,braeval,Scotland,566,4431,85.35
Broombrae Distillery,broombrae,Scotland,0,0,0.0
Brora,brora,Scotland,282,10573,89.93
Bruichladdich,bruichladdich,Scotland,4168,115104,86.9
Bunnahabhain,bunnahabhain,Scotland,4016,81009,86.49
